,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
260,332,56,42688,0,6,0,0,36864,14,10,7,1048576,33088,100388,0,1
261,332,28,256396,0,4,0,0,8192,11,0,3,1048576,34144,67376,0,1
262,34404,0,0,0,5,0,0,229376,9,0,6,1048576,33088,688,0,1
263,332,56,184944,0,5,0,0,184320,12,0,5,1048576,33088,816,0,1
264,34404,0,0,0,4,0,0,157720,2,25,9,2097152,0,0,0,1
265,34404,0,0,0,5,0,0,49152,9,0,6,1048576,33088,964,0,1
266,332,28,48700,0,4,0,0,8192,8,0,3,1048576,1344,1400,0,1
267,332,28,88376,0,4,0,0,8192,8,0,3,1048576,34112,4824,0,1
268,34404,0,0,0,4,0,0,123944,2,25,10,2097152,0,1504,0,1
269,34404,84,495872,0,5,0,0,442368,14,0,8,1048576,33120,31424,0,1
270,332,0,0,0,1,577536,1384,0,2,25,8,1048576,0,200704,0,1
271,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
272,332,28,10896,0,4,0,0,8192,11,0,3,1048576,34112,1768,0,1
273,34404,56,31632,10,10,0,0,28672,12,10,6,524288,49504,1976,0,1
274,332,28,10632,0,4,0,0,8192,8,0,3,1048576,1024,1032,0,1
275,34404,56,37568,0,6,52464,135,36864,12,0,5,67108864,33056,99280,0,1
276,34404,0,0,0,4,0,0,54652,2,27,11,2097152,0,4984,0,1
277,332,56,5632,10,10,0,0,28672,12,10,6,262144,49216,26464,0,1
278,34404,0,0,0,4,0,0,42508,2,27,11,2097152,0,5024,0,1
279,332,28,592776,0,4,0,0,592768,8,0,3,1048576,34112,988,0,1
280,34404,84,114688,0,5,0,0,81920,14,0,7,1048576,33120,920,0,1
281,34404,0,0,0,4,0,0,37708,2,27,11,2097152,0,5016,0,1
282,34404,0,0,0,5,0,0,126976,9,0,6,1048576,33088,964,0,1
283,34404,0,0,0,4,0,0,37972,2,27,11,2097152,0,4992,0,1
284,34404,0,0,0,4,0,0,198700,2,25,9,2097152,0,0,0,1
285,34404,0,0,0,4,0,0,50420,2,27,11,2097152,0,5032,0,1
286,34404,0,0,0,4,0,0,58120,2,25,9,12582912,0,0,0,1
287,332,28,91248,0,5,0,0,86016,14,0,6,1048576,33088,480,0,1
288,332,28,4512,8,5,0,0,4096,8,0,3,1048576,32832,2152,0,1
289,34404,0,0,0,4,0,0,46336,2,27,11,2097152,0,5024,0,1
290,34404,0,0,0,4,0,0,55404,2,27,11,2097152,0,5000,0,1
291,332,28,51792,0,5,0,0,49152,14,0,7,1048576,33088,480,0,1
292,34404,0,0,0,5,0,0,90112,9,0,6,1048576,33088,964,0,1
293,34404,0,0,0,4,0,0,33372,2,25,9,2097152,0,0,0,1
294,34404,0,0,0,4,0,0,378740,2,25,10,2097152,0,23896,0,1
295,34404,28,399328,0,4,0,0,0,8,0,2,4194304,1024,12584,0,1
296,34404,0,0,0,4,0,0,42180,2,27,11,2097152,0,4992,0,1
297,332,56,4208,10,10,0,0,12288,12,10,5,262144,49472,75552,0,1
298,332,28,4144,10,6,0,0,12536,11,0,5,1048576,33088,1460,0,1
299,34404,0,0,0,4,0,0,46720,2,27,11,2097152,0,5008,0,1
300,332,28,66612,0,4,0,0,8192,11,0,3,1048576,34112,1640,0,1
301,34404,56,69888,10,10,0,0,65536,12,10,6,524288,49504,2080,0,1
302,34404,28,42176,0,5,0,0,40960,10,0,6,1048576,33088,2032,0,1
303,34404,56,31824,10,10,0,0,28672,12,10,7,524288,49504,2056,0,1
304,332,28,646828,0,4,0,0,8192,8,0,3,1048576,34112,4848,0,1
305,34404,56,160688,0,6,216576,203,159744,12,0,5,1048576,33056,157112,0,1
306,332,0,0,0,4,0,0,8192,6,0,3,1048576,1024,2256,0,1
307,332,56,4144,10,6,0,0,21016,11,0,5,1048576,33088,1460,0,1
308,332,56,222304,0,6,0,0,221184,12,0,5,1048576,33088,11976,0,1
309,34404,0,0,0,4,0,0,272204,2,25,9,2097152,0,0,0,1
310,34404,0,0,0,4,0,0,37528,2,25,9,2097152,0,0,0,1
311,34404,56,181296,0,6,238464,230,180224,12,0,5,1048576,33056,71816,0,1
312,332,28,10648,0,4,0,0,8192,8,0,3,1048576,1344,1024,0,1
313,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
314,332,56,107120,0,6,0,0,106496,12,0,5,1048576,33088,480,0,1
315,332,28,451888,0,5,0,0,450560,9,0,5,1048576,33088,49601,0,1
316,34404,56,25584,0,6,32192,231,24576,12,0,5,1048576,33056,436,0,1
317,34404,0,0,0,4,0,0,45780,2,25,10,2097152,0,1504,0,1
318,332,28,41268,0,4,0,0,8192,8,0,3,1048576,34112,16736,0,1
319,34404,0,0,0,4,0,0,315392,8,0,5,1048576,32768,784,0,1
320,34404,0,0,0,4,0,0,38124,2,27,11,2097152,0,5000,0,1
321,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
322,34404,56,43344,10,10,0,0,36864,12,10,6,524288,49504,5376,0,1
323,34404,0,0,0,4,0,0,46180,2,25,9,2097152,0,0,0,1
324,332,28,1004160,0,5,0,0,999424,10,0,5,1048576,33088,315916,0,1
325,34404,0,0,0,4,0,0,80052,2,27,11,2097152,0,5000,0,1
326,332,28,17460,0,4,0,0,8192,11,0,3,1048576,34144,1408,0,1
327,34404,28,6256,6,6,546416,112,4096,10,10,5,1048576,33088,7196,0,1
328,332,28,128664,0,4,0,0,8192,11,0,3,1048576,34112,12676,0,1
329,34404,56,74256,10,10,0,0,65536,12,10,6,524288,49504,4536,0,1
330,332,28,4144,10,6,0,0,25104,11,0,5,1048576,33088,3744,0,1
331,332,0,0,0,4,0,0,8192,8,0,3,1048576,1344,1168,0,1
332,332,0,0,6,5,0,0,1108596,2,25,9,1048576,32768,167816,0,1
333,34404,56,33904,0,6,42304,207,32768,12,0,5,1048576,33056,436,0,1
334,332,0,0,1,4,0,0,0,2,25,5,2097152,0,0,0,1
335,34404,0,0,5,5,135168,120,124048,8,0,11,1048576,0,1536,0,1
