FileName,Machine,DebugSize,DebugRVA,MajorImageVersion,MajorOSVersion,ExportRVA,ExportSize,IatVRA,MajorLinkerVersion,MinorLinkerVersion,NumberOfSections,SizeOfStackReserve,DllCharacteristics,ResourceSize,BitcoinAddresses,Benign
VirusShare_0b73627a219ef6a8a09e2d19b2311970,332,28,4656,0,4,40688,4223,155236,8,0,5,1048576,0,0,0,0
VirusShare_0b737e01979565e3874b1bbc2f10e812,332,0,0,0,5,0,0,4096,9,0,3,1048576,32768,4728,0,0
VirusShare_0b73f3b5e9cd941b0375598fa4d793c4,332,0,0,0,4,0,0,266240,8,0,4,1048576,0,39616,0,0
VirusShare_0b7446b267a50db5a6515fe2876d22b0,332,0,0,0,5,0,0,8192,9,0,3,1048576,32768,1680,0,0
VirusShare_0b7479b2af68e8c4cecb249e7184e513,332,0,0,0,4,0,0,8192,6,0,3,1048576,0,14840,0,0
VirusShare_0b7817e24e14f485f9cacb4c394c8c19,332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0,0
VirusShare_0b7861d85a863230d8ef2ea862283644,332,0,0,0,5,0,0,77824,9,0,5,1048576,32768,86996,0,0
VirusShare_0b7a628509df4b6253cce75860f211f8,332,56,119280,0,5,0,0,118784,11,0,5,1048576,33088,620472,0,0
VirusShare_0b7bbbe398345da5a80ba89e1339dec0,332,0,0,0,4,0,0,0,2,25,6,0,1,2560,0,0
VirusShare_0b7c91ed99ab135aef30dd71843c02a8,332,0,0,7,7,334404,100,0,5,0,3,0,0,2424,0,0
VirusShare_0b7ddf9bcb87bd9925dace367b85ab50,332,0,0,0,4,0,0,4504,2,50,10,1048576,0,49852,0,0
VirusShare_0b7ee60630737c58f5434a1b17c23469,332,0,0,5,4,0,0,4096,6,0,3,1048576,0,2260,0,0
VirusShare_0b7fa305b57066885d7d70c96d51aae0,332,0,0,0,4,0,0,0,5,12,3,1048576,0,172,0,0
VirusShare_0b800543cc26bff83a3715887365fb1e,332,0,0,0,4,0,0,94208,5,12,5,1048576,0,4272,0,0
VirusShare_0b82b19db7b82e2d157322cc34542b9e,332,0,0,0,4,0,0,8192,6,0,6,1048576,0,1032,0,0
VirusShare_0b84c94f0f95325bd246f3862841a1a0,332,0,0,0,0,0,0,0,6,0,4,1048576,1,16777729,0,0
VirusShare_0b88c1b4f810d893fe99b710c3f4fb5c,332,0,0,11,4,0,0,4096,6,0,3,1048576,0,2360,0,0
VirusShare_0b8cad9f8d5917f4930eb02f0b2453f6,332,28,70176,0,4,0,0,69632,8,0,5,1048576,0,1456,0,0
VirusShare_0b8d7907f1b4390c1685649b1911939e,332,0,0,9,8,0,0,0,5,0,7,1048576,0,12060,0,0
VirusShare_0b8e1cb7fff4e0b8b60259cea9195949,332,0,0,6,4,0,0,28672,6,0,5,1048576,32768,3144,0,0
VirusShare_0b8ea122e5846cd94195bbb2f43c35f4,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
VirusShare_0b8f6f33f9a0863b0f4c149282efd1fd,332,0,0,0,5,0,0,12288,9,0,5,1048576,0,0,0,0
VirusShare_0b93794cefb96db2b868ab2d33788430,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
VirusShare_0b93cf1d7f39c6225469c4c8b782b3d1,332,0,0,0,5,53248,262,32768,11,0,12,1048576,0,2544,0,0
VirusShare_0b974197a3a6e05f2e1d8077713cc3ac,332,0,0,0,4,0,0,0,6,0,3,1048576,0,14436,0,0
VirusShare_0b979cb7eb1e1921845c0a1dc67f4614,332,0,0,0,4,0,0,8520,6,0,2,1048576,0,0,0,0
